primary_ticker,post_count,bullish_pct,bearish_pct,neutral_pct,avg_confidence,avg_relevance,sarcastic_count,avg_engagement,low_confidence,low_sample
SPY,45,13.3,66.7,20.0,0.66,0.7,26,1810.18,False,False
MSFT,13,30.8,69.2,0.0,0.71,0.78,5,1622.29,False,False
TSLA,10,20.0,80.0,0.0,0.66,0.68,7,2388.49,False,False
META,8,25.0,62.5,12.5,0.75,0.85,5,1247.44,False,False
MU,6,33.3,66.7,0.0,0.78,0.78,1,1347.17,False,False
SPX,5,60.0,40.0,0.0,0.79,0.84,1,1000.32,False,False
HIMS,5,60.0,40.0,0.0,0.79,0.84,2,1065.36,False,False
AMZN,5,0.0,60.0,40.0,0.54,0.6,5,1768.04,True,False
SMCI,4,25.0,75.0,0.0,0.76,0.84,4,646.62,False,True
QQQ,4,25.0,75.0,0.0,0.8,0.82,1,505.92,False,True
GOOGL,4,0.0,100.0,0.0,0.75,0.75,1,1561.88,False,True
LLY,4,50.0,25.0,25.0,0.7,0.8,2,1276.9,False,True
ORCL,4,50.0,50.0,0.0,0.8,0.9,3,576.2,False,True
USO,3,100.0,0.0,0.0,0.73,0.87,0,685.83,False,True
NVDA,3,33.3,66.7,0.0,0.7,0.7,2,734.63,False,True
NBIS,3,66.7,33.3,0.0,0.8,0.83,1,338.97,False,True
TQQQ,2,0.0,100.0,0.0,0.8,0.7,0,815.0,False,True
HOOD,2,0.0,50.0,50.0,0.75,0.75,0,978.05,False,True
NKE,2,50.0,50.0,0.0,0.77,0.85,1,512.05,False,True
NFLX,2,0.0,50.0,50.0,0.75,0.85,2,2008.8,False,True
AMC,2,50.0,50.0,0.0,0.52,0.75,1,6377.75,True,True
VCX,2,50.0,50.0,0.0,0.75,0.75,1,286.6,False,True
LULU,2,0.0,100.0,0.0,0.8,0.9,0,1962.85,False,True
ADBE,2,0.0,100.0,0.0,0.75,0.85,1,4620.5,False,True
WTI,2,50.0,50.0,0.0,0.75,0.9,1,1729.85,False,True
DJT,2,50.0,0.0,50.0,0.3,0.4,2,696.1,True,True
ASTS,2,50.0,50.0,0.0,0.55,0.55,0,719.1,True,True
DIA,2,0.0,100.0,0.0,0.45,0.55,2,377.55,True,True
DIS,2,0.0,100.0,0.0,0.75,0.85,1,4277.95,False,True
RIVN,1,100.0,0.0,0.0,0.8,0.7,0,649.7,False,True
SBET,1,100.0,0.0,0.0,0.8,0.7,0,5821.4,False,True
SBLX,1,0.0,100.0,0.0,0.7,0.8,0,1466.4,False,True
SFTBY,1,0.0,100.0,0.0,0.8,0.9,1,1470.0,False,True
BTC,1,0.0,100.0,0.0,0.7,0.8,1,12461.1,False,True
SNAP,1,0.0,100.0,0.0,0.8,0.7,1,1184.9,False,True
SNDK,1,100.0,0.0,0.0,0.8,0.7,0,514.8,False,True
SPCE,1,100.0,0.0,0.0,0.7,0.8,0,1894.3,False,True
RCL,1,0.0,100.0,0.0,0.8,0.9,0,661.5,False,True
BNO,1,100.0,0.0,0.0,0.7,0.8,1,297.4,False,True
BMBL,1,0.0,100.0,0.0,0.75,0.85,1,988.8,False,True
BIRD,1,0.0,100.0,0.0,0.85,0.9,1,1748.3,False,True
UAL,1,0.0,100.0,0.0,0.8,0.9,0,4594.0,False,True
ARM,1,100.0,0.0,0.0,0.85,0.9,0,388.9,False,True
AMD,1,100.0,0.0,0.0,0.7,0.8,1,263.9,False,True
VIX,1,0.0,100.0,0.0,0.9,0.8,0,490.6,False,True
WMT,1,0.0,100.0,0.0,0.85,0.9,1,279.9,False,True
RGRD,1,0.0,100.0,0.0,0.8,0.7,1,319.1,False,True
HMC,1,0.0,100.0,0.0,0.85,0.9,0,2890.4,False,True
RBLX,1,0.0,100.0,0.0,0.9,0.8,0,707.8,False,True
ICE,1,0.0,100.0,0.0,0.6,0.7,1,2261.7,False,True
INTC,1,100.0,0.0,0.0,0.7,0.8,0,4900.5,False,True
IWM,1,0.0,100.0,0.0,0.8,0.9,1,981.9,False,True
JBLU,1,0.0,100.0,0.0,0.8,0.9,0,1357.2,False,True
JPM,1,0.0,100.0,0.0,0.8,0.9,1,432.8,False,True
HGRAF,1,100.0,0.0,0.0,0.7,0.8,0,787.2,False,True
LMT,1,0.0,100.0,0.0,0.7,0.8,1,372.1,False,True
GRND,1,0.0,100.0,0.0,0.7,0.8,1,2010.6,False,True
GME,1,100.0,0.0,0.0,0.7,0.8,1,1734.3,False,True
F,1,0.0,100.0,0.0,0.7,0.8,0,1768.6,False,True
MSOS,1,100.0,0.0,0.0,0.7,0.8,0,264.1,False,True
DJI,1,0.0,100.0,0.0,0.7,0.9,0,663.3,False,True
NDAQ,1,0.0,100.0,0.0,0.7,0.8,1,1116.5,False,True
NOEM,1,0.0,0.0,100.0,0.3,0.2,1,4687.7,True,True
DB,1,0.0,100.0,0.0,0.8,0.9,0,987.9,False,True
CL=F,1,0.0,100.0,0.0,0.8,0.9,1,281.5,False,True
PL,1,0.0,100.0,0.0,0.7,0.8,0,572.4,False,True
PSTH,1,0.0,100.0,0.0,0.85,0.8,0,453.0,False,True
CCL,1,0.0,100.0,0.0,0.6,0.7,1,3616.3,False,True
